Time resolution is 1 ps
Time: 605000 | PC: 000000f0 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 615000 | PC: 000000f4 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 625000 | PC: 000000f8 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 635000 | PC: 000000fc | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 645000 | PC: 00000100 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 655000 | PC: 00000104 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 665000 | PC: 00000108 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 675000 | PC: 0000010c | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 685000 | PC: 00000110 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 695000 | PC: 00000114 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 705000 | PC: 00000118 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 715000 | PC: 0000011c | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 725000 | PC: 00000120 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 735000 | PC: 00000124 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 745000 | PC: 00000128 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 755000 | PC: 0000012c | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 765000 | PC: 00000130 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 775000 | PC: 00000134 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 785000 | PC: 00000138 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 795000 | PC: 0000013c | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 805000 | PC: 00000140 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
